filepath,testclass,testname,line number,assert string
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_blog.py,,test_author_required,35,"assert client.post(""/1/delete"").status_code == 403"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_blog.py,,test_author_required,37,"assert b'href=""/1/update""' not in client.get(""/"").data"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_blog.py,,test_exists_required,43,assert client.post(path).status_code == 404
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_blog.py,,test_create,48,"assert client.get(""/create"").status_code == 200"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_blog.py,,test_create,54,assert count == 2
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_blog.py,,test_update,59,"assert client.get(""/1/update"").status_code == 200"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_blog.py,,test_update,65,"assert post[""title""] == ""updated"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_blog.py,,test_create_update_validate,72,"assert b""Title is required."" in response.data"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_blog.py,,test_delete,78,"assert response.headers[""Location""] == ""/"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_blog.py,,test_delete,83,assert post is None
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_db.py,,test_get_close_db,11,assert db is get_db()
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_db.py,,test_get_close_db,16,"assert ""closed"" in str(e.value)"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_db.py,,test_init_db_command,28,"assert ""Initialized"" in result.output"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_db.py,,test_init_db_command,29,assert Recorder.called
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_factory.py,,test_config,6,assert not create_app().testing
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_factory.py,,test_config,7,"assert create_app({""TESTING"": True}).testing"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\examples\tutorial\tests\test_factory.py,,test_hello,12,"assert response.data == b""Hello, World!"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_appctx.py,,test_basic_url_generation,18,"assert rv == ""https://localhost/"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_appctx.py,,test_request_context_means_app_context,34,assert flask.current_app._get_current_object() is app
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_appctx.py,,test_request_context_means_app_context,35,assert not flask.current_app
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_appctx.py,,test_app_context_provides_current_app,40,assert flask.current_app._get_current_object() is app
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_appctx.py,,test_app_context_provides_current_app,41,assert not flask.current_app
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_appctx.py,,test_app_tearing_down,54,assert cleanup_stuff == [None]
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_appctx.py,,test_app_tearing_down_with_previous_exception,72,assert cleanup_stuff == [None]
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_appctx.py,,test_app_tearing_down_with_handled_exception_by_except_block,88,assert cleanup_stuff == [None]
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_appctx.py,,test_app_tearing_down_with_handled_exception_by_app_handler,110,assert cleanup_stuff == [None]
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_appctx.py,,test_app_tearing_down_with_unhandled_exception,129,assert len(cleanup_stuff) == 1
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_appctx.py,,test_app_tearing_down_with_unhandled_exception,130,"assert isinstance(cleanup_stuff[0], ValueError)"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_appctx.py,,test_app_tearing_down_with_unhandled_exception,131,"assert str(cleanup_stuff[0]) == ""dummy"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_appctx.py,,test_app_ctx_globals_methods,136,"assert flask.g.get(""foo"") is None"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_appctx.py,,test_app_ctx_globals_methods,137,"assert flask.g.get(""foo"", ""bar"") == ""bar"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_appctx.py,,test_app_ctx_globals_methods,139,"assert ""foo"" not in flask.g"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_appctx.py,,test_app_ctx_globals_methods,141,"assert ""foo"" in flask.g"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_appctx.py,,test_app_ctx_globals_methods,145,"assert flask.g.bar == ""the cake is a lie"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_appctx.py,,test_app_ctx_globals_methods,147,"assert flask.g.pop(""bar"") == ""the cake is a lie"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_appctx.py,,test_app_ctx_globals_methods,150,"assert flask.g.pop(""bar"", ""more cake"") == ""more cake"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_appctx.py,,test_app_ctx_globals_methods,152,"assert list(flask.g) == [""foo""]"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_appctx.py,,test_app_ctx_globals_methods,154,"assert repr(flask.g) == ""<flask.g of 'flask_test'>"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_appctx.py,,test_custom_app_ctx_globals_class,164,"assert flask.render_template_string(""{{ g.spam }}"") == ""eggs"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_appctx.py,,test_context_refcounts,188,assert res.status_code == 200
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_appctx.py,,test_context_refcounts,189,"assert res.data == b"""""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_appctx.py,,test_context_refcounts,190,"assert called == [""request"", ""app""]"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_appctx.py,,test_clean_pop,208,"assert called == [""flask_test"", ""TEARDOWN""]"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_appctx.py,,test_clean_pop,209,assert not flask.current_app
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_async.py,,test_async_route,85,"assert b""GET"" in response.get_data()"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_async.py,,test_async_route,87,"assert b""POST"" in response.get_data()"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_async.py,,test_async_error_handler,94,assert response.status_code == 412
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_async.py,,test_async_before_after_request,141,assert app_before_called
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_async.py,,test_async_before_after_request,142,assert app_after_called
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_async.py,,test_async_before_after_request,144,assert bp_before_called
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_async.py,,test_async_before_after_request,145,assert bp_after_called
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_options_work,36,"assert sorted(rv.allow) == [""GET"", ""HEAD"", ""OPTIONS"", ""POST""]"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_options_work,37,"assert rv.data == b"""""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_options_on_multiple_rules,50,"assert sorted(rv.allow) == [""GET"", ""HEAD"", ""OPTIONS"", ""POST"", ""PUT""]"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_method_route,62,"assert client_method(""/"").data == b""Hello"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_provide_automatic_options_attr,79,assert rv.status_code == 405
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_provide_automatic_options_attr,89,"assert sorted(rv.allow) == [""OPTIONS""]"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_provide_automatic_options_kwarg,106,"assert client.get(""/"").data == b""GET"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_provide_automatic_options_kwarg,109,assert rv.status_code == 405
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_provide_automatic_options_kwarg,110,"assert sorted(rv.allow) == [""GET"", ""HEAD""]"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_provide_automatic_options_kwarg,113,assert rv.status_code == 405
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_provide_automatic_options_kwarg,116,assert rv.status_code == 200
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_provide_automatic_options_kwarg,117,assert not rv.data  # head truncates
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_provide_automatic_options_kwarg,118,"assert client.post(""/more"").data == b""POST"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_provide_automatic_options_kwarg,119,"assert client.get(""/more"").data == b""GET"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_provide_automatic_options_kwarg,122,assert rv.status_code == 405
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_provide_automatic_options_kwarg,123,"assert sorted(rv.allow) == [""GET"", ""HEAD"", ""POST""]"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_provide_automatic_options_kwarg,126,assert rv.status_code == 405
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_request_dispatching,138,"assert client.get(""/"").data == b""GET"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_request_dispatching,140,assert rv.status_code == 405
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_request_dispatching,141,"assert sorted(rv.allow) == [""GET"", ""HEAD"", ""OPTIONS""]"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_request_dispatching,143,assert rv.status_code == 200
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_request_dispatching,144,assert not rv.data  # head truncates
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_request_dispatching,145,"assert client.post(""/more"").data == b""POST"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_request_dispatching,146,"assert client.get(""/more"").data == b""GET"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_request_dispatching,148,assert rv.status_code == 405
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_request_dispatching,149,"assert sorted(rv.allow) == [""GET"", ""HEAD"", ""OPTIONS"", ""POST""]"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_url_mapping,176,"assert client.get(""/"").data == b""GET"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_url_mapping,178,assert rv.status_code == 405
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_url_mapping,179,"assert sorted(rv.allow) == [""GET"", ""HEAD"", ""OPTIONS""]"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_url_mapping,181,assert rv.status_code == 200
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_url_mapping,182,assert not rv.data  # head truncates
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_url_mapping,183,"assert client.post(""/more"").data == b""POST"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_url_mapping,184,"assert client.get(""/more"").data == b""GET"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_url_mapping,186,assert rv.status_code == 405
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_url_mapping,187,"assert sorted(rv.allow) == [""GET"", ""HEAD"", ""OPTIONS"", ""POST""]"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_url_mapping,189,assert rv.status_code == 200
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_url_mapping,190,"assert random_uuid4 in rv.data.decode(""utf-8"")"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_werkzeug_routing,210,"assert client.get(""/foo/"").data == b""index"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_werkzeug_routing,211,"assert client.get(""/foo/bar"").data == b""bar"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_endpoint_decorator,230,"assert client.get(""/foo/"").data == b""index"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_endpoint_decorator,231,"assert client.get(""/foo/bar"").data == b""bar"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session,253,"assert client.post(""/set"", data={""value"": ""42""}).data == b""value set"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session,254,"assert client.get(""/get"").data == b""42"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_path,266,"assert ""path=/foo"" in rv.headers[""set-cookie""].lower()"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_using_application_root,288,"assert ""path=/bar"" in rv.headers[""set-cookie""].lower()"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_using_session_settings,316,"assert ""domain=example.com"" in cookie or ""domain=.example.com"" in cookie"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_using_session_settings,317,"assert ""path=/"" in cookie"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_using_session_settings,318,"assert ""secure"" in cookie"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_using_session_settings,319,"assert ""httponly"" not in cookie"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_using_session_settings,320,"assert ""samesite"" in cookie"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_using_session_settings,321,"assert ""partitioned"" in cookie"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_using_session_settings,325,"assert ""session=;"" in cookie"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_using_session_settings,327,"assert ""domain=example.com"" in cookie or ""domain=.example.com"" in cookie"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_using_session_settings,328,"assert ""path=/"" in cookie"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_using_session_settings,329,"assert ""secure"" in cookie"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_using_session_settings,330,"assert ""samesite"" in cookie"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_using_session_settings,331,"assert ""partitioned"" in cookie"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_using_samesite_attribute,348,"assert ""samesite"" not in cookie"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_using_samesite_attribute,353,"assert ""samesite=strict"" in cookie"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_using_samesite_attribute,358,"assert ""samesite=lax"" in cookie"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_missing_session,369,"assert flask.session.get(""missing_key"") is None"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_secret_key_fallbacks,386,"assert client.get().json == {""a"": 1}"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_secret_key_fallbacks,389,assert client.get().json == {}
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_secret_key_fallbacks,392,"assert client.get().json == {""a"": 1}"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_expiration,409,"assert ""set-cookie"" in rv.headers"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_expiration,413,assert expires.year == expected.year
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_expiration,414,assert expires.month == expected.month
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_expiration,415,assert expires.day == expected.day
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_expiration,418,"assert rv.data == b""True"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_expiration,422,"assert ""set-cookie"" in rv.headers"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_expiration,424,assert match is None
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_stored_last,437,"assert client.get(""/"").data == b""None"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_stored_last,438,"assert client.get(""/"").data == b""42"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_special_types,460,"assert s[""t""] == (1, 2, 3)"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_special_types,461,"assert type(s[""b""]) is bytes  # noqa: E721"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_special_types,462,"assert s[""b""] == b""\xff"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_special_types,463,"assert type(s[""m""]) is Markup  # noqa: E721"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_special_types,464,"assert s[""m""] == Markup(""<html>"")"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_special_types,465,"assert s[""u""] == the_uuid"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_special_types,466,"assert s[""d""] == now"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_special_types,467,"assert s[""t_tag""] == {"" t"": ""not-a-tuple""}"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_special_types,468,"assert s[""di_t_tag""] == {"" t__"": ""not-a-tuple""}"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_special_types,469,"assert s[""di_tag""] == {"" di"": ""not-a-dict""}"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,run_test,487,"assert c.get(""/bump"").data == b""1"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,run_test,488,"assert c.get(""/bump"").data == b""2"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,run_test,489,"assert c.get(""/bump"").data == b""3"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,run_test,493,assert (set_cookie is not None) == expect_header
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,run_test,494,"assert rv.data == b""3"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_refresh_vary,586,"assert rv.headers[""Vary""] == ""Cookie"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_session_refresh_vary,588,"assert rv.headers[""Vary""] == ""Cookie"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_flashes,592,assert not flask.session.modified
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_flashes,596,assert flask.session.modified
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_flashes,597,"assert list(flask.get_flashed_messages()) == [""Zap"", ""Zip""]"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test,617,assert list(messages) == [
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_with_categories,627,assert len(messages) == 3
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_with_categories,628,assert list(messages) == [
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_filter,640,"assert list(messages) == [(""message"", ""Hello World"")]"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_filters,648,assert list(messages) == [
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_filters2,657,assert len(messages) == 2
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_filters2,658,"assert messages[0] == ""Hello World"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_filters2,659,"assert messages[1] == Markup(""<em>Testing</em>"")"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_request_processing,700,"assert ""after"" not in evts"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_request_processing,702,"assert ""after"" in evts"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_request_processing,703,"assert rv == b""request|after"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_request_preprocessing_early_return,729,"assert rv == b""hello"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_request_preprocessing_early_return,730,"assert evts == [1, 2]"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_after_request_processing,744,assert resp.status_code == 200
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_after_request_processing,745,"assert resp.headers[""X-Foo""] == ""a header"""
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_teardown_request_handler,761,assert rv.status_code == 200
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_teardown_request_handler,762,"assert b""Response"" in rv.data"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_teardown_request_handler,763,assert len(called) == 1
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_teardown_request_handler_debug_mode,779,assert rv.status_code == 200
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_teardown_request_handler_debug_mode,780,"assert b""Response"" in rv.data"
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_teardown_request_handler_debug_mode,781,assert len(called) == 1
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_teardown_request_handler_error,817,assert rv.status_code == 500
C:\Users\Kaustubh\AppData\Local\Temp\tmpozani_61\tests\test_basic.py,,test_teardown_request_handler_error,818,"assert b""Internal Server Error"" in rv.data"
